[27-Jun-2017 13:14:54 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:14:54 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:14:54 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:14:54 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:14:54 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:14:54 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:14:54 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:16:54 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:16:54 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:16:54 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:16:54 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:16:54 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:16:54 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:16:54 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:16:54 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:16:54 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:22:20 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 21
[27-Jun-2017 13:22:20 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 21
[27-Jun-2017 13:22:20 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 21
[27-Jun-2017 13:22:20 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 21
[27-Jun-2017 13:22:20 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 21
